type,id,action,message,ack,direction,description
auth,login,Login,A|REQ|loginData+,,Client,Sent to authenticate user
auth,loginsuccess,Login Success,A|A+,,Server,Recieved when login passes
auth,invalidlogin,Invalid Login,A|E|INVALID_AUTH_DATA|unknown user+,,Server,Recieved if login fails
auth,toomanyauthattempts,Too many login attempts,A|E|TOO_MANY_AUTH_ATTEMPTS+,,Server,Recieved if login fails more than the maximum allowed attempts and closes the client connection
event,listen,Listen,E|L|event\/.*+,E|A|L|event\/.*+,Client,Send when listening to event matching regex
event,unlisten,Unlisten,E|UL|event\/.*+,E|A|UL|event\/.*+,Client,Send when no longer interested in listening to event
event,subscribe,Susbcribe,E|S|eventName+,E|A|S|eventName+,Client,Send to subscribe to event
event,unsubscribe,Unsubscribe,E|US|eventName+,E|A|US|eventName+,Client,Send to unsubscribe to event
event,publish,Publish,E|EVT|eventName|JSON+,E|A|EVT|eventName+,Client/Server,Recieved/Sent when an event occurs
event,listenmatch,Listen Match,E|SP|event\/.*|event/A+,,Server,Recieved when a listened to regex is has a single intrested client
event,listenunmatch,Listen UnMatched,E|SR|event\/.*|event/A+,,,Recieved when a listened to regex no longer has any interested clients
record,listen,Listen,R|L|recordPrefix\/.*+,R|A|L|recordPrefix\/.*+,Client,
record,unlisten,Unlisten,R|UL|recordPrefix\/.*+,R|A|UL|recordPrefix\/.*+,Client,
record,listenmatch,Listen Match,R|SP|recordPrefix\/.*|/A+,,Server,Recieved when a listened to regex is matched
record,listenunmatch,Listen UnMatched,R|SR|RecordPrefix\/.*|recordPrefix/recordName+,,Server,Recieved when a listened to regex no longer has any interested clients
record,create,Read/Create,R|CR|recordName+,R|A|CR|recordName+,Client,"Send to request the record data, automatically subscribing to all changes and creates record if it does not exist"
record,update,Update Entire Record,R|U|recordName|versionNumber|JSON+,,Client,Send/Recieved when the entire record data is replaced with a new value
record,patch,Patch Record,R|P|recordName|versionNumber|path|value+,,Client,Send/Recieved when the record is partially changed
record,delete,Delete Record,R|D|recordName+,R|A|D|recordName+,Client,Send/Recieved when an object is deleted. This leads to all clients discarding the client since updates are no longer available
record,recieveread,Receive Record Read,R|R|recordName|versionNumber|JSON,,Server,"When requesting a record you will get a read which is the current state of the record, similar to the update data"
record,cachetimeout,Cache Read Timeout,R|E|CACHE_RETRIEVAL_TIMEOUT|recordName+,,Server,If the object can't be read from the cache within a certain time the server will respond with this error
record,databasetimeout,Database Read Timeout,R|E|STORAGE_RETRIEVAL_TIMEOUT|recordName+,,Server,If the object can't be read from storage within a certain time the server will respond with this error
rpc,register,Register as provider,P|S|rpcName+,P|A|S|rpcName+,Client,Send when client can recieve RPC events
rpc,unregister,Unregister as provider,P|US|rpcName+,P|A|US|rpcName+,Client,Send when client no longer wishes to recieve RPC events
rpc,send,Send RPC request,P|REQ|rpcName|rpcID|Arguments+,P|A|REQ|rpcName|rpcID+,Client/Server,Send/Recieve when RPC requested
rpc,reject,Reject RPC request,P|REJ|rpcName|rpcID+,,Client,Send if client does not want to execute RPC
rpc,error,Error RPC request,P|E|ErrorMessage|rpcName|123+,,Client/Server,Send/Recieved if an error occurs while attempting to execute rpc
rpc,success,Respond to RPC request,P|RES|rpcName|rpcID|Result+,,Client/Server,Send/Recieve when RPC is executed succesfully with the resulting data
